phase,bucket,count,mean_pred,mean_actual
before,"[0.0,0.1)",17,0.04541232061022981,0.0
before,"[0.1,0.2)",10,0.15120987920517853,0.4
before,"[0.2,0.3)",7,0.27049827663778153,0.7142857142857143
before,"[0.3,0.4)",6,0.34534143748777785,0.5
before,"[0.4,0.5)",6,0.4529275601413738,0.5
before,"[0.5,0.6)",7,0.5652908832841532,0.42857142857142855
before,"[0.6,0.7)",2,0.6585220219478516,1.0
before,"[0.7,0.8)",2,0.767037520765727,1.0
before,"[0.8,0.9)",10,0.8399095294174899,0.6
before,"[0.9,1.0)",17,0.9588663849334639,0.9411764705882353
after,"[0.0,0.1)",18,0.0,0.0
after,"[0.3,0.4)",34,0.3103448275862069,0.5294117647058824
after,"[0.6,0.7)",7,0.6666666666666666,0.7142857142857143
after,"[0.7,0.8)",24,0.7483164983164983,0.8333333333333334
after,"[0.9,1.0)",1,1.0,1.0
